dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,6,1.0,20,True,7.362587213516235,89_5_57_11_6_5_5_10_5_7_8_8_38_12_5_4_6_5_26_6,1.49_0.08_0.94_0.18_0.10_0.09_0.09_0.17_0.09_0.12_0.14_0.14_0.64_0.20_0.09_0.07_0.10_0.09_0.43_0.10
0000_wikipedia_tokenized.json,1,6,1.0,20,True,8.775431632995605,248_6_4_7_8_5_11_8_6_6_11_8_9_11_7_7_48_5_7_7,3.75_0.10_0.07_0.12_0.13_0.08_0.18_0.13_0.10_0.10_0.18_0.13_0.15_0.18_0.12_0.12_0.78_0.08_0.12_0.12
0000_wikipedia_tokenized.json,2,6,1.0,20,True,45.99767303466797,2648_8_5_8_56_14_10_10_6_7_5_5_4_16_6_22_21_6_6_8,40.22_0.13_0.08_0.13_0.93_0.23_0.17_0.17_0.10_0.12_0.09_0.09_0.07_0.27_0.10_0.37_0.35_0.10_0.10_0.14
0000_wikipedia_tokenized.json,3,6,1.0,20,True,13.437451839447021,511_5_19_6_5_14_5_10_8_11_10_13_9_6_59_7_7_6_6_10,7.78_0.09_0.31_0.10_0.09_0.23_0.09_0.17_0.14_0.19_0.17_0.22_0.15_0.10_0.98_0.12_0.12_0.10_0.10_0.17
0000_wikipedia_tokenized.json,4,6,1.0,20,True,9.196436166763306,287_11_6_7_7_9_5_11_10_14_16_7_14_7_7_7_11_8_5_8,4.34_0.18_0.10_0.12_0.12_0.15_0.08_0.18_0.17_0.23_0.27_0.12_0.23_0.12_0.12_0.12_0.18_0.13_0.08_0.13
0000_wikipedia_tokenized.json,5,6,1.0,20,True,7.318025827407837,85_11_5_56_3_9_4_14_11_32_5_21_6_16_7_11_9_8_5_9,1.29_0.18_0.08_0.91_0.05_0.15_0.07_0.23_0.18_0.53_0.09_0.35_0.10_0.27_0.12_0.18_0.15_0.13_0.08_0.15
0000_wikipedia_tokenized.json,6,6,1.0,20,True,27.31981325149536,1436_5_58_6_6_10_9_20_8_5_8_10_5_9_5_29_6_6_7_6,21.69_0.08_0.94_0.10_0.10_0.17_0.15_0.33_0.13_0.09_0.13_0.17_0.09_0.15_0.09_0.48_0.10_0.10_0.12_0.10
0000_wikipedia_tokenized.json,7,6,1.0,20,True,8.276509046554565,126_4_10_51_14_6_9_6_11_11_6_10_4_6_12_6_18_6_7_67,1.90_0.07_0.16_0.83_0.23_0.10_0.15_0.10_0.18_0.18_0.10_0.17_0.07_0.10_0.20_0.10_0.29_0.10_0.12_1.09
0000_wikipedia_tokenized.json,8,6,1.0,20,True,13.121517896652222,499_5_27_6_5_7_7_6_5_48_7_6_9_4_8_8_6_34_8_9,7.54_0.08_0.44_0.10_0.08_0.12_0.12_0.10_0.08_0.79_0.12_0.10_0.15_0.07_0.13_0.13_0.10_0.55_0.13_0.15
0001_wikipedia_tokenized.json,0,6,1.0,40,True,15.311158657073975,237_6_14_15_4_5_12_21_9_7_5_34_11_6_5_6_60_11_8_8_18_4_4_6_24_5_28_15_9_5_5_5_8_6_5_18_8_5_25_12,3.58_0.10_0.23_0.25_0.07_0.08_0.20_0.34_0.15_0.12_0.09_0.56_0.18_0.10_0.09_0.10_0.98_0.18_0.13_0.13_0.30_0.07_0.07_0.10_0.39_0.09_0.46_0.25_0.15_0.09_0.09_0.09_0.13_0.10_0.09_0.30_0.14_0.09_0.41_0.20
