dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,45,12,1.0,20,True,4987.611843347549,46096_36902_45348_22801_48622_12310_26401_31663_13848_8421_40970_17739_48863_28278_9774_19658_8722_49806_12462_36473,365.19_306.81_387.07_192.84_416.12_100.40_219.54_266.83_116.98_81.34_398.76_177.01_485.94_280.83_95.82_191.92_73.65_433.31_104.22_290.80
0000_wikipedia_tokenized.json,46,12,1.0,20,True,3764.9977643489838,48901_2978_32390_19790_3784_32232_24308_20467_16560_13955_35304_10701_32702_36053_17327_16527_29976_20380_7423_1295,390.12_23.85_273.28_161.09_32.29_278.50_213.62_181.41_146.48_129.86_328.42_99.68_318.21_356.54_171.64_163.81_249.67_171.84_61.74_10.81
0000_wikipedia_tokenized.json,47,12,1.0,20,True,4006.704567670822,11427_26325_22478_17855_3512_43109_17161_30895_3323_4932_21648_17577_18261_33999_30099_30787_42706_24825_17942_45813,92.07_208.64_184.71_142.10_28.41_347.79_135.97_256.59_28.64_46.30_203.28_165.46_173.02_322.27_283.91_293.69_354.35_206.75_149.17_381.35
0000_wikipedia_tokenized.json,48,12,1.0,20,True,4250.44464302063,27880_19510_40544_28896_23206_24718_38432_13260_39658_537_330_28727_32574_33502_18723_34352_9400_15749_39934_16715,223.98_155.22_340.47_239.18_194.05_198.84_306.67_115.27_340.91_5.08_3.15_272.97_313.13_325.22_186.41_342.54_78.30_131.10_335.49_140.35
0000_wikipedia_tokenized.json,49,12,1.0,20,True,4554.480549573898,3011_31741_20345_7367_33111_20670_6437_524_24672_15274_46592_29832_44964_46993_18293_37294_40639_11839_33306_47325,22.89_247.75_162.65_58.71_269.37_167.50_51.94_4.22_205.63_143.27_426.30_279.94_427.20_445.48_172.34_356.43_338.76_99.54_278.11_394.31
0000_wikipedia_tokenized.json,50,12,1.0,20,True,4668.642274141312,24996_9699_34758_3778_29029_38167_38432_15105_39658_24527_43245_23347_42759_21630_41726_24072_19264_451_18169_43527,189.94_77.37_279.10_30.46_233.93_308.66_316.74_131.45_330.68_219.21_401.74_219.58_405.14_205.24_402.72_231.54_162.95_3.79_152.26_364.00
0000_wikipedia_tokenized.json,51,12,1.0,20,True,3857.5012583732605,20048_11854_47861_30204_39812_12116_22021_17909_306_7287_40188_3291_34710_36218_17789_25613_9400_11507_39934_16715,161.67_96.45_389.78_246.00_323.74_99.07_180.29_146.30_2.53_67.74_374.62_30.91_327.98_339.74_168.52_246.91_78.47_95.89_336.85_141.88
0000_wikipedia_tokenized.json,52,12,1.0,20,True,4400.015613555908,7258_36902_29165_13229_11804_35799_23365_30538_16951_36867_32879_4245_28052_46037_44263_18113_38311_22295_19239_10041,57.88_296.62_237.09_107.41_96.81_291.61_190.38_253.95_141.79_343.37_301.98_38.32_265.03_435.93_416.66_169.55_324.99_186.11_159.17_83.22
0000_wikipedia_tokenized.json,53,12,1.0,20,True,4252.313915252686,42787_40670_39822_3552_10505_49411_2521_30390_14327_7784_29495_36506_13088_2211_37535_41878_807_34706_32161_19134,347.53_329.04_324.73_28.87_86.77_396.06_20.76_262.83_124.01_71.61_266.44_341.04_123.92_21.04_356.61_399.59_7.20_304.08_272.60_165.37
0010_random-0010_random.json,5,12,1.0,20,True,4938.951418876648,45784_10003_23394_24116_44041_40250_1798_32320_23024_45727_23943_44127_37327_30003_8940_16385_38171_26023_47312_37412,379.30_83.64_198.24_210.83_345.66_302.84_13.68_250.73_181.68_403.42_212.28_389.62_331.67_267.94_79.19_145.40_292.89_205.59_359.84_282.22
