dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,63,12,1.0,20,True,4180.903918981552,40690_19510_47801_41884_20718_27542_1932_17690_10659_30558_22641_38225_21754_19456_47610_30318_12868_29012_34455_6931,309.29_155.12_381.33_337.97_167.59_221.94_15.60_142.75_86.08_246.00_182.63_308.66_176.21_155.45_381.15_242.40_102.53_232.85_277.41_55.76
0000_wikipedia_tokenized.json,64,12,1.0,20,True,4761.457868814468,41361_40087_42730_20686_20551_17285_7179_48074_39658_31581_6010_47870_24266_38315_19636_42480_37444_24825_43176_4273,309.36_318.68_338.14_165.60_164.39_137.55_57.25_386.58_318.38_254.68_48.08_384.16_195.41_307.22_156.78_337.69_297.17_201.37_346.59_34.16
0000_wikipedia_tokenized.json,65,12,1.0,20,True,4691.09033536911,34146_26119_41420_18611_11804_35799_34266_18028_9619_25_49270_45627_44535_36218_47232_50241_9400_31325_8147_35092,260.31_207.44_328.86_147.01_93.46_286.04_274.38_144.52_77.02_0.20_395.82_367.56_360.82_292.91_380.10_404.40_74.44_249.38_64.86_279.37
0000_wikipedia_tokenized.json,66,12,1.0,20,True,3379.7614538669586,15870_4884_19212_4664_49681_6545_9010_43348_13699_18696_16544_16269_38723_28476_10347_30787_956_37289_7865_48643,118.89_38.64_152.27_36.87_394.90_51.53_71.55_349.16_109.83_151.34_134.10_131.48_312.92_229.45_82.94_248.72_7.60_300.20_63.34_391.82
0000_wikipedia_tokenized.json,67,12,1.0,20,True,4543.743947505951,34146_40802_18481_50042_28102_36199_24899_47373_11080_28618_23390_29323_21754_36218_9179_31837_27317_28613_32161_7308,258.07_324.26_147.90_403.01_224.02_289.52_199.69_379.86_88.76_229.80_188.32_236.17_177.46_293.91_74.90_258.54_219.55_229.96_258.75_59.07
0000_wikipedia_tokenized.json,68,12,1.0,20,True,3463.1776690483093,24678_39771_7327_29113_5098_23596_38432_46310_10659_21888_2456_12145_29029_1145_43932_2937_15869_24825_28563_24153,186.92_317.10_58.72_233.95_40.81_189.81_308.64_374.85_86.34_178.21_19.73_98.34_235.32_9.19_353.58_23.70_126.46_198.02_228.26_193.02
0000_wikipedia_tokenized.json,69,12,1.0,20,True,3886.8711273670197,692_20101_4057_14421_31698_31499_39392_7870_16951_37814_49429_28929_37354_27866_32064_28273_9400_11507_20638_30329,5.06_158.65_32.25_116.13_254.56_254.52_317.25_63.73_137.06_307.27_402.45_234.37_304.53_227.12_259.83_230.55_76.01_93.17_166.85_243.25
0000_wikipedia_tokenized.json,70,12,1.0,20,True,3150.231452226639,47529_10285_16696_11591_6138_1900_9010_32013_39658_21888_12287_14373_48412_36218_42458_1247_9400_6842_695_24296,358.19_82.13_133.70_92.83_49.02_15.10_71.96_257.98_318.66_176.60_99.83_116.70_394.16_293.76_344.47_10.11_75.45_55.34_5.61_196.38
0000_wikipedia_tokenized.json,71,12,1.0,20,True,3383.064160346985,26921_29695_29256_6880_11496_8997_16534_12021_48561_16886_24480_9493_49197_20240_24230_6918_13716_16169_44947_876,203.62_236.12_234.03_55.24_92.13_72.45_132.90_96.83_393.95_140.12_203.28_78.46_405.24_165.91_199.61_56.98_111.82_130.97_364.09_7.04
0010_random-0010_random.json,7,12,1.0,20,True,4280.064850330353,21317_26265_43439_41088_28074_43891_37972_48562_8525_23534_48416_39085_1600_11858_3273_8161_26850_33639_23831_7763,159.26_209.49_346.17_331.88_225.50_354.74_306.50_393.49_69.16_190.76_389.97_315.07_13.34_99.32_27.13_68.07_224.67_283.05_204.14_66.11
