dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,5,1.0,20,True,7.276414632797241,88_5_56_12_6_5_5_9_5_6_8_6_29_10_5_4_5_5_12_6,1.54_0.09_0.96_0.21_0.11_0.09_0.09_0.16_0.09_0.11_0.14_0.11_0.52_0.18_0.09_0.07_0.09_0.09_0.21_0.11
0000_wikipedia_tokenized.json,1,5,1.0,20,True,9.782546997070312,298_6_4_5_8_5_9_9_6_5_13_7_8_10_6_6_24_5_7_7,4.87_0.11_0.07_0.09_0.14_0.09_0.16_0.18_0.10_0.09_0.23_0.13_0.14_0.17_0.11_0.11_0.41_0.09_0.13_0.12
0000_wikipedia_tokenized.json,2,5,1.0,20,True,28.720166444778442,1296_8_4_7_64_20_9_17_6_7_5_7_4_16_6_21_11_7_6_8,22.17_0.15_0.08_0.13_1.18_0.37_0.17_0.31_0.11_0.13_0.10_0.13_0.07_0.30_0.11_0.38_0.21_0.13_0.11_0.17
0000_wikipedia_tokenized.json,3,5,1.0,20,True,9.80756688117981,216_5_10_6_5_12_5_11_7_9_8_9_9_5_67_6_8_6_5_9,3.73_0.09_0.18_0.11_0.10_0.22_0.09_0.20_0.13_0.17_0.15_0.16_0.17_0.11_1.23_0.12_0.15_0.11_0.10_0.17
0000_wikipedia_tokenized.json,4,5,1.0,20,True,22.976949214935303,1020_11_6_6_8_8_5_11_8_9_14_7_13_9_6_7_9_8_5_7,17.82_0.19_0.11_0.11_0.14_0.15_0.10_0.19_0.15_0.17_0.26_0.13_0.24_0.17_0.12_0.13_0.16_0.15_0.10_0.13
0000_wikipedia_tokenized.json,5,5,1.0,20,True,8.201616048812866,83_22_5_46_3_8_4_31_9_26_5_14_6_18_6_13_9_8_6_9,1.44_0.41_0.09_0.82_0.06_0.15_0.07_0.56_0.17_0.49_0.10_0.26_0.11_0.33_0.11_0.24_0.17_0.15_0.11_0.16
0000_wikipedia_tokenized.json,6,5,1.0,20,True,15.813562393188477,550_5_60_5_5_8_8_28_7_5_8_7_5_7_5_27_5_6_7_6,9.49_0.20_1.07_0.09_0.09_0.24_0.14_0.51_0.14_0.10_0.14_0.13_0.09_0.13_0.10_0.48_0.10_0.11_0.13_0.11
0000_wikipedia_tokenized.json,7,5,1.0,20,True,9.933866024017334,198_4_7_40_13_6_10_7_13_8_5_9_3_5_13_5_9_6_7_62,3.42_0.07_0.12_0.74_0.23_0.12_0.18_0.12_0.24_0.15_0.09_0.16_0.06_0.10_0.24_0.10_0.17_0.12_0.12_1.15
0000_wikipedia_tokenized.json,8,5,1.0,20,True,13.349879741668701,417_5_33_7_5_7_6_6_5_31_7_6_9_4_7_7_6_47_8_8,7.20_0.09_0.59_0.12_0.09_0.12_0.11_0.11_0.10_0.56_0.13_0.11_0.17_0.08_0.14_0.13_0.11_0.87_0.16_0.14
0001_wikipedia_tokenized.json,0,5,1.0,40,True,16.303274869918823,198_6_35_17_4_5_14_20_7_7_5_41_10_6_5_6_44_9_9_7_12_5_4_6_20_5_28_15_9_5_5_4_7_6_5_21_7_5_23_12,3.40_0.11_0.63_0.31_0.07_0.09_0.27_0.36_0.12_0.13_0.10_0.74_0.18_0.11_0.09_0.11_0.78_0.17_0.16_0.12_0.23_0.09_0.07_0.11_0.37_0.10_0.49_0.28_0.16_0.09_0.10_0.09_0.15_0.11_0.10_0.38_0.13_0.10_0.43_0.22
0001_wikipedia_tokenized.json,1,5,1.0,40,True,17.927934169769287,332_6_5_30_8_13_5_8_5_5_9_5_11_8_6_4_32_7_10_10_14_8_10_3_6_5_5_9_10_4_17_14_5_12_5_7_64_5_13_14,5.67_0.11_0.09_0.54_0.15_0.23_0.09_0.14_0.09_0.10_0.16_0.09_0.21_0.15_0.11_0.08_0.58_0.13_0.19_0.19_0.25_0.14_0.19_0.06_0.12_0.09_0.10_0.17_0.18_0.07_0.32_0.27_0.10_0.22_0.10_0.13_1.16_0.09_0.26_0.25
