sample_idx,count,mean,std,min,max
0,1262908153,181.9364297170248,41.49278924404882,3.429164409637451,1129.70361328125
1,1262908153,168.80885361492048,38.83012684369701,4.335364818572998,1112.325927734375
2,1262908153,166.57091024961406,41.82942275861347,3.037109136581421,997.6420288085938
3,1262908153,161.06869150850838,34.25926148408247,5.1772918701171875,951.3770751953125
4,1262908153,151.16761094544552,29.910828485937554,4.431567668914795,973.60498046875
5,1262908153,151.6617733186471,30.0486000395631,4.5105133056640625,945.7058715820312
6,1262908153,134.7047061401262,26.54065564034913,2.609833240509033,946.488037109375
7,1262908153,181.92910484834405,42.46616152628328,4.766523361206055,1105.4649658203125
8,1262908153,167.1718648695214,39.52532586276617,4.359600067138672,1085.8431396484375
9,1262908153,180.80865193372736,42.02299180630966,3.4704525470733643,1174.11181640625
