dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,1,1.0,20,True,6.691531419754028,20_6_59_12_22_5_5_6_5_5_9_6_17_15_5_4_5_5_9_7,0.44_0.09_0.97_0.20_0.37_0.08_0.08_0.11_0.08_0.08_0.16_0.10_0.30_0.25_0.09_0.07_0.09_0.09_0.15_0.12
0000_wikipedia_tokenized.json,1,1,1.0,20,True,5.3608222007751465,20_5_5_5_10_5_6_6_5_5_12_8_7_13_7_6_14_4_7_6,0.30_0.09_0.09_0.08_0.17_0.08_0.10_0.11_0.09_0.09_0.21_0.13_0.12_0.22_0.12_0.11_0.23_0.07_0.12_0.10
0000_wikipedia_tokenized.json,2,1,1.0,20,True,5.880957126617432,26_8_5_7_26_11_7_13_5_8_6_6_3_9_6_11_17_5_6_8,0.40_0.14_0.08_0.11_0.43_0.18_0.12_0.21_0.09_0.13_0.10_0.11_0.05_0.15_0.11_0.19_0.30_0.08_0.11_0.13
0000_wikipedia_tokenized.json,3,1,1.0,20,True,6.325685977935791,24_7_18_6_5_7_5_12_5_6_8_7_6_4_66_6_8_6_4_9,0.38_0.12_0.31_0.10_0.08_0.12_0.08_0.20_0.08_0.10_0.14_0.11_0.10_0.07_1.09_0.11_0.13_0.10_0.07_0.15
0000_wikipedia_tokenized.json,4,1,1.0,20,True,6.3250463008880615,40_25_8_8_7_5_5_13_6_9_19_7_12_6_7_8_16_6_5_6,0.61_0.40_0.14_0.13_0.11_0.09_0.08_0.22_0.10_0.15_0.32_0.11_0.21_0.10_0.12_0.13_0.26_0.10_0.08_0.11
0000_wikipedia_tokenized.json,5,1,1.0,20,True,6.033010005950928,26_10_4_21_3_6_5_18_7_12_5_15_6_15_7_14_6_5_7_7,0.39_0.16_0.07_0.36_0.05_0.11_0.09_0.29_0.12_0.20_0.09_0.24_0.11_0.25_0.12_0.23_0.10_0.09_0.11_0.11
0000_wikipedia_tokenized.json,6,1,1.0,20,True,5.552634000778198,15_6_21_6_5_7_9_12_5_5_10_9_4_6_6_21_5_5_8_6,0.22_0.10_0.34_0.11_0.09_0.12_0.15_0.19_0.08_0.09_0.16_0.16_0.07_0.10_0.11_0.34_0.09_0.09_0.13_0.11
0000_wikipedia_tokenized.json,7,1,1.0,20,True,6.387669086456299,16_5_6_22_10_6_11_8_14_10_5_6_3_5_13_5_9_6_8_52,0.24_0.09_0.09_0.37_0.16_0.10_0.18_0.13_0.24_0.17_0.09_0.10_0.05_0.09_0.21_0.08_0.15_0.10_0.14_0.85
0000_wikipedia_tokenized.json,8,1,1.0,20,True,6.002719163894653,30_5_25_8_8_7_7_6_5_13_11_6_5_4_9_7_6_16_8_9,0.47_0.08_0.41_0.15_0.12_0.11_0.12_0.10_0.08_0.22_0.18_0.11_0.08_0.07_0.16_0.13_0.10_0.26_0.14_0.15
0001_wikipedia_tokenized.json,0,1,1.0,40,True,12.764207601547241,24_8_14_18_3_5_21_18_9_5_6_55_10_6_6_7_24_5_8_8_9_4_5_5_11_4_17_28_7_5_5_4_5_7_5_12_6_5_11_11,0.38_0.13_0.23_0.30_0.05_0.08_0.36_0.30_0.15_0.09_0.11_0.91_0.17_0.10_0.10_0.13_0.39_0.09_0.13_0.13_0.15_0.07_0.09_0.09_0.18_0.07_0.28_0.47_0.12_0.09_0.09_0.07_0.09_0.12_0.09_0.20_0.10_0.09_0.18_0.19
