dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,4,1.0,20,True,6.797934532165527,49_5_78_10_7_5_5_10_5_6_7_5_24_9_5_4_5_5_14_6,0.88_0.09_1.30_0.17_0.12_0.09_0.09_0.17_0.09_0.11_0.12_0.09_0.42_0.16_0.09_0.07_0.09_0.09_0.24_0.11
0000_wikipedia_tokenized.json,1,4,1.0,20,True,5.348367214202881,44_5_4_5_8_5_8_11_6_5_10_7_7_10_6_6_20_5_7_6,0.70_0.08_0.07_0.09_0.14_0.09_0.14_0.19_0.11_0.09_0.17_0.12_0.12_0.17_0.10_0.10_0.34_0.09_0.12_0.10
0000_wikipedia_tokenized.json,2,4,1.0,20,True,58.56982111930847,3146_8_4_7_58_19_8_12_5_7_5_7_4_23_6_19_13_7_6_8,52.27_0.15_0.07_0.13_1.05_0.35_0.15_0.22_0.09_0.12_0.09_0.12_0.07_0.41_0.11_0.33_0.23_0.13_0.11_0.15
0000_wikipedia_tokenized.json,3,4,1.0,20,True,8.790834426879883,186_5_11_6_5_14_5_10_7_8_8_7_7_4_57_6_7_6_4_8,3.23_0.09_0.20_0.11_0.09_0.25_0.09_0.19_0.14_0.14_0.14_0.14_0.13_0.08_1.00_0.11_0.13_0.11_0.07_0.15
0000_wikipedia_tokenized.json,4,4,1.0,20,True,13.70504903793335,508_13_6_6_7_7_5_12_6_10_15_7_13_10_7_7_8_7_5_7,8.63_0.23_0.11_0.10_0.13_0.12_0.09_0.21_0.11_0.18_0.27_0.12_0.23_0.19_0.13_0.13_0.15_0.14_0.09_0.13
0000_wikipedia_tokenized.json,5,4,1.0,20,True,8.001754999160767,86_20_5_51_3_7_4_34_7_15_5_15_5_17_6_18_11_8_5_8,1.44_0.37_0.09_0.89_0.05_0.13_0.07_0.58_0.12_0.27_0.09_0.27_0.09_0.31_0.11_0.32_0.19_0.14_0.10_0.14
0000_wikipedia_tokenized.json,6,4,1.0,20,True,8.947736740112305,246_6_14_5_5_8_7_17_6_5_10_7_4_6_5_21_5_6_7_6,4.07_0.11_0.24_0.09_0.09_0.14_0.12_0.29_0.11_0.09_0.18_0.12_0.07_0.11_0.09_0.38_0.10_0.11_0.13_0.11
0000_wikipedia_tokenized.json,7,4,1.0,20,True,13.415764331817627,381_4_6_62_13_6_11_6_11_10_5_9_3_7_12_5_9_7_7_65,6.59_0.07_0.11_1.10_0.24_0.11_0.20_0.11_0.19_0.19_0.09_0.17_0.06_0.13_0.22_0.09_0.16_0.13_0.12_1.14
0000_wikipedia_tokenized.json,8,4,1.0,20,True,14.4297776222229,519_4_45_6_5_6_6_5_5_34_7_6_8_4_7_6_6_33_8_8,8.54_0.07_0.80_0.11_0.09_0.10_0.11_0.09_0.09_0.60_0.12_0.10_0.14_0.08_0.13_0.11_0.11_0.58_0.14_0.14
0001_wikipedia_tokenized.json,0,4,1.0,40,True,16.290693044662476,249_6_19_10_3_5_16_23_7_6_5_60_16_5_5_7_22_8_10_7_7_4_4_6_17_5_23_23_9_5_5_4_7_6_5_23_9_5_21_8,4.02_0.11_0.35_0.19_0.05_0.09_0.29_0.41_0.13_0.11_0.09_1.05_0.29_0.09_0.09_0.13_0.39_0.14_0.18_0.12_0.13_0.07_0.07_0.11_0.30_0.09_0.41_0.41_0.15_0.09_0.09_0.08_0.13_0.11_0.09_0.40_0.16_0.09_0.37_0.14
0001_wikipedia_tokenized.json,1,4,1.0,40,True,16.243749856948853,286_6_5_26_9_10_5_8_5_5_8_5_10_7_7_4_18_8_9_9_11_8_10_3_5_5_5_7_10_4_17_11_5_11_5_7_62_5_35_11,4.72_0.11_0.09_0.46_0.16_0.17_0.09_0.14_0.09_0.09_0.15_0.09_0.18_0.13_0.13_0.07_0.31_0.14_0.16_0.16_0.19_0.14_0.18_0.06_0.09_0.09_0.09_0.12_0.18_0.07_0.30_0.19_0.09_0.19_0.09_0.12_1.07_0.09_0.61_0.20
0001_wikipedia_tokenized.json,2,4,1.0,40,True,12.50060749053955,82_22_14_6_7_5_6_21_7_14_6_6_10_6_8_6_6_7_13_7_15_5_6_5_7_7_6_9_6_5_16_6_6_10_4_5_9_10_9_47,1.38_0.39_0.26_0.10_0.12_0.09_0.11_0.38_0.13_0.26_0.12_0.11_0.19_0.11_0.15_0.11_0.11_0.12_0.23_0.13_0.27_0.09_0.11_0.09_0.13_0.13_0.11_0.16_0.11_0.09_0.29_0.11_0.10_0.17_0.07_0.09_0.16_0.18_0.16_0.82
