layer,count,mean,std,min,max
1,4999950000,60.1775012873352,15.832865966598746,1.416786551475525,166.5983428955078
2,4999950000,69.50102455193449,16.15996181681205,2.421128273010254,163.77725219726562
3,4999950000,72.76191101040581,16.169184294143648,3.309208393096924,181.37554931640625
4,4999950000,81.38901585175668,16.337129845489798,3.8849871158599854,191.8648681640625
5,4999950000,90.77098733285024,16.565362091267534,3.883739709854126,204.14332580566406
6,4999950000,98.795915562157,16.1904657007336,4.212392807006836,198.50131225585938
7,4999950000,107.87795690271325,16.93579817266016,5.735734462738037,204.20721435546875
8,4999950000,115.88461273385238,17.38593973834286,6.71136999130249,211.78460693359375
9,4999950000,122.6001527532376,17.852928257320464,8.06624984741211,262.9248046875
10,4999950000,132.38525850561402,19.426655333308265,6.455533981323242,303.23297119140625
11,4999950000,142.5452819196841,20.768188137373887,6.235218524932861,326.99896240234375
12,4999950000,153.67693397553916,22.092846727643092,6.367509365081787,351.6061706542969
13,4999950000,166.21339243101968,23.550129326888033,6.861184597015381,367.03729248046875
14,4999950000,179.83037087107053,24.868817022686002,7.073276042938232,383.6643371582031
15,4999950000,195.5941490658551,25.59411333132061,7.592219352722168,405.1202697753906
16,4999950000,212.43527862211664,26.397970842370675,8.577387809753418,430.3077392578125
17,4999950000,230.98468680258154,26.299960325418773,9.042496681213379,453.1002502441406
18,4999950000,249.14570569586272,26.261234799567074,9.930479049682617,481.965576171875
19,4999950000,272.40743120253313,27.274635632651,11.295855522155762,521.5166625976562
20,4999950000,300.79058922730684,29.497695180281852,11.767748832702637,536.2647094726562
21,4999950000,330.253456605829,32.38966513780632,13.218502044677734,554.9422607421875
22,4999950000,388.9030380345432,58.97511557180078,13.779781341552734,927.185791015625
23,4999950000,501.3000499707665,150.44730171268617,13.692268371582031,1879.0245361328125
24,4999950000,798.90285007264,351.88572017093685,15.449151992797852,3412.060302734375
