layer,count,mean,std,min,max
1,4999950000,388.00086656720134,81.48435527115443,0.690544605255127,1221.5494384765625
2,4999950000,454.8685648055192,83.02364681183168,1.4889189004898071,1197.4400634765625
3,4999950000,522.9928544402665,88.1491043048293,2.1250641345977783,1582.8035888671875
4,4999950000,636.365883498488,139.9045326776392,2.682701587677002,1849.554931640625
5,4999950000,756.5258675771281,315.43173682235124,5.326267719268799,6730.736328125
6,4999950000,887.5083997954101,610.0284942403629,9.731339454650879,11506.5546875
7,4999950000,979.2471190590642,1153.7280225968034,9.113605499267578,19187.8828125
8,4999950000,1289.5038876936367,1899.8466051711653,15.997382164001465,29368.404296875
9,4999950000,1409.0794827526527,1966.3228066382078,17.33478355407715,32695.87109375
10,4999950000,1545.6987687873761,2677.7454866986277,19.04151153564453,41676.0078125
11,4999950000,1791.1828742258313,3178.3272607665717,22.87097930908203,47137.40234375
12,4999950000,2347.4228644099353,3776.198830340702,30.528564453125,55429.86328125
13,4999950000,2665.240532114478,4034.407565069647,49.23029708862305,57886.6328125
14,4999950000,2865.984793288673,4191.868948392361,54.24321365356445,59008.78125
15,4999950000,3327.6651795997345,4465.072268569984,71.50823974609375,62190.3828125
16,4999950000,3898.343238006628,4534.953390753284,89.05242919921875,63868.9140625
17,4999950000,4600.369287958363,4632.341061578303,112.7308349609375,66827.5546875
18,4999950000,6438.747935760898,4998.009145627799,159.92982482910156,72582.9453125
19,4999950000,7526.3203154205075,5078.55871718413,190.1243896484375,75331.734375
20,4999950000,8629.745074503415,4808.357081711169,229.65017700195312,74137.3515625
21,4999950000,9899.664665486902,4709.022959228718,276.59698486328125,73797.7109375
22,4999950000,10696.593487174565,4465.673449083757,346.3243713378906,72918.1484375
23,4999950000,11555.038235967542,3767.9482168309332,428.88275146484375,67972.6640625
24,4999950000,12397.361947666583,2873.6943158451,492.972412109375,57210.54296875
25,4999950000,12558.033420142421,2250.0585591272015,531.9824829101562,41362.75390625
26,4999950000,13785.526036100884,2693.7694597230256,635.8821411132812,66238.46875
