layer,count,mean,std,min,max
1,4999950000,889.8236740977715,562.7202070734944,0.8969298601150513,8438.365234375
2,4999950000,897.6151758257984,595.501673619808,1.4959474802017212,9145.9560546875
3,4999950000,1035.0194879781236,1848.35519954513,3.320690155029297,28629.298828125
4,4999950000,1036.1504032277094,1843.6639753840932,2.479341745376587,28414.369140625
5,4999950000,1045.0526034086638,1874.7188846241058,5.452686786651611,29320.88671875
6,4999950000,1089.3876790367444,1947.1325670925808,11.202292442321777,30855.44140625
7,4999950000,1258.8800485779307,2476.7746000902384,15.140883445739746,50758.49609375
8,4999950000,1327.8092197805465,2508.039113018648,13.047628402709961,51370.73046875
9,4999950000,1506.6052079356712,2864.0759651997773,11.003107070922852,65087.15234375
10,4999950000,1817.099632386539,3859.615408911075,13.492955207824707,86110.90625
11,4999950000,2043.8270646434423,4030.7113706706546,23.192201614379883,89040.453125
12,4999950000,2373.923219053114,5199.946823835373,31.92264175415039,115943.09375
13,4999950000,2813.8175198920226,7995.2422422920245,33.7992057800293,163778.921875
14,4999950000,3361.959926690931,8367.492645400785,47.19361114501953,173170.015625
15,4999950000,4094.7193462956675,8356.9629244069,52.36951446533203,177380.546875
16,4999950000,4167.410098817836,8346.255513182494,65.93168640136719,188648.25
17,4999950000,4294.819836228481,8196.105548393136,112.9831314086914,188939.765625
18,4999950000,4544.612555821741,8686.706336367215,166.2401885986328,201600.328125
19,4999950000,5331.681086265392,9278.296549830835,191.62124633789062,205382.578125
20,4999950000,6149.445422533523,11312.5443580651,250.92379760742188,237744.5
21,4999950000,6638.392200059126,12620.369941421544,293.5192565917969,263251.75
22,4999950000,6744.5939569857255,13466.494990635172,351.5524597167969,285164.53125
23,4999950000,7239.304142098682,14640.595223965653,375.010009765625,296089.78125
24,4999950000,8298.700664708971,14074.921989662646,467.3797607421875,295307.3125
25,4999950000,8526.013291985619,14414.479042551726,454.1571350097656,303213.03125
26,4999950000,8954.712060202108,15225.64169381469,459.23956298828125,310844.5625
27,4999950000,10046.360284266708,16399.317259438252,462.1848449707031,323188.9375
28,4999950000,10915.192817967618,17705.44874955208,539.8533935546875,341082.28125
29,4999950000,12315.253620729132,18865.07974513153,553.0717163085938,364548.78125
30,4999950000,13996.343129920175,19500.997537173673,645.8756103515625,371323.75
31,4999950000,14506.315359320826,20726.498241708035,644.7305908203125,382726.84375
32,4999950000,15654.236719539535,21289.7176895852,529.2047119140625,386684.9375
33,4999950000,16544.82064593284,21885.799817808474,548.6336059570312,391383.59375
34,4999950000,17306.078506112946,22003.826581166733,564.4193115234375,396489.46875
35,4999950000,18559.29079055989,22298.921286316483,641.5092163085938,407059.96875
36,4999950000,21048.97150016196,22425.216244561776,665.4732055664062,410352.59375
37,4999950000,22676.374024984507,22600.497600793835,682.7274169921875,415162.5625
38,4999950000,23205.62786471352,22660.608132958558,721.8212280273438,416428.84375
39,4999950000,24039.472596019674,22544.406608634563,723.7584228515625,414840.3125
40,4999950000,25014.601292018746,22354.156255761653,739.7269897460938,413476.40625
41,4999950000,27067.440687654434,22192.156712084776,867.7030639648438,418315.9375
42,4999950000,33145.58812197095,21555.678412522026,1371.742431640625,414684.28125
43,4999950000,34610.52693704188,20714.938839212922,1465.538818359375,408137.625
44,4999950000,37083.17748735415,17761.2557785294,1629.9078369140625,371570.875
45,4999950000,39932.146672254654,14169.102576588375,2661.63623046875,318907.59375
46,4999950000,40345.14350915958,10130.074982969181,3346.64208984375,247604.46875
47,4999950000,45130.14278271188,11925.335717558974,4194.70263671875,185927.234375
48,4999950000,55855.896465785285,20270.094980188864,4701.42529296875,348181.125
