layer,count,mean,std,min,max
1,4999950000,24.01346658570292,7.228456905504132,0.14722681045532227,86.577880859375
2,4999950000,35.052278482085406,8.49738572092971,0.44483456015586853,92.58735656738281
3,4999950000,42.41313080798634,9.835048559675469,0.5690916180610657,98.37255859375
4,4999950000,47.37505068633587,10.79609534783893,0.7078325748443604,104.27687072753906
5,4999950000,51.77491887980414,11.554224948761885,0.8257882595062256,107.68910217285156
6,4999950000,56.20010970463792,12.364705333191399,0.9055256843566895,113.26399230957031
7,4999950000,60.24363162422768,12.880087609717258,0.9916296601295471,121.52597045898438
8,4999950000,64.0636524608518,13.298865954644613,1.0755536556243896,128.05796813964844
9,4999950000,68.53050328499764,13.781685393110928,1.133839726448059,135.4113006591797
10,4999950000,72.32566054815587,13.9879687520063,1.166969895362854,139.84384155273438
11,4999950000,76.4270109854758,14.142439047751264,1.2197072505950928,146.23643493652344
12,4999950000,81.28568218093808,14.149102571761343,1.2727770805358887,151.8306121826172
13,4999950000,85.61101932011914,14.295525271154908,1.3357197046279907,158.80477905273438
14,4999950000,89.691184842047,14.180114488330622,1.372815728187561,162.77867126464844
15,4999950000,94.00821884608149,14.043521352468293,1.4188824892044067,168.61871337890625
16,4999950000,98.73182246134874,14.121743748098188,1.5843356847763062,175.5296173095703
17,4999950000,105.11041141018528,14.30254570303624,1.7422415018081665,186.04197692871094
18,4999950000,113.12516253549731,14.717540042338756,1.9193893671035767,196.0807342529297
19,4999950000,120.49894998260874,14.98450936277745,2.1106441020965576,207.0734405517578
20,4999950000,127.41279326712478,15.252605654163272,2.2723777294158936,220.2926788330078
21,4999950000,135.7227938172954,15.797762274032623,2.389612913131714,237.35012817382812
22,4999950000,144.12808392423844,16.347437617416958,2.5188345909118652,253.8984375
23,4999950000,152.657674054963,16.644571546072264,2.814333200454712,272.0863952636719
24,4999950000,162.1430064544558,16.839637936341045,3.06947660446167,291.0933532714844
25,4999950000,172.6105162239286,16.77603950116014,3.452537775039673,312.2109680175781
26,4999950000,182.58949034253897,16.615531106514354,3.669034957885742,329.3394775390625
27,4999950000,195.0581615139651,17.04042672797805,4.1862335205078125,346.1596984863281
28,4999950000,207.46153781089006,17.850285359226156,4.615147590637207,365.01422119140625
29,4999950000,219.8380652507905,18.951323735598564,4.849730968475342,378.9460754394531
30,4999950000,231.6967506469386,20.26161073799687,5.193202018737793,417.462158203125
31,4999950000,244.6687952833526,22.175427304112226,5.510899066925049,454.72314453125
32,4999950000,260.46032011227936,24.74963738781253,5.857895851135254,489.25225830078125
33,4999950000,280.3874153966528,27.835143318931863,6.352138042449951,510.4049377441406
34,4999950000,298.6698107554803,31.82970230258145,7.1420111656188965,848.4315185546875
35,4999950000,319.5923730374762,39.12179698265994,7.941397190093994,1143.775146484375
36,4999950000,343.8079109428516,48.94205831659248,9.468120574951172,1307.672607421875
