layer,count,mean,std,min,max
1,4999950000,42.6559633822878,8.115441867575445,0.39994746446609497,81.2308349609375
2,4999950000,48.95751323328734,8.541340124652201,0.42562854290008545,90.86497497558594
3,4999950000,55.3807147825569,8.83952875884867,0.5531312227249146,98.1319351196289
4,4999950000,64.06944998901544,9.351649700618285,0.6696441173553467,109.77925872802734
5,4999950000,71.42051306961866,9.340966690025295,0.7011890411376953,118.26249694824219
6,4999950000,81.8576906443453,10.018051312943902,0.7715078592300415,143.53396606445312
7,4999950000,93.24567707061651,10.568573978286668,0.942518413066864,168.39459228515625
8,4999950000,110.52239953967455,12.425132799495897,1.1419458389282227,193.88616943359375
9,4999950000,128.78610656875622,12.969362817029703,1.4046626091003418,223.96385192871094
10,4999950000,157.14094194100147,15.900401347848526,1.8203599452972412,279.5985107421875
11,4999950000,200.0146303106252,25.360120166373832,2.499927043914795,438.37139892578125
12,4999950000,369.24363682136743,151.49283898082942,5.386985778808594,1514.0894775390625
