dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,9,1.0,20,True,7.915782690048218,89_5_36_21_10_5_5_12_5_8_13_12_23_13_6_4_7_5_25_8,1.68_0.09_0.67_0.40_0.19_0.10_0.10_0.23_0.10_0.15_0.24_0.23_0.44_0.25_0.12_0.08_0.13_0.10_0.47_0.15
0000_wikipedia_tokenized.json,1,9,1.0,20,True,18.526349306106567,703_7_4_8_11_5_9_13_11_6_8_8_11_14_7_8_62_5_7_7,12.37_0.13_0.08_0.15_0.21_0.10_0.17_0.26_0.21_0.12_0.16_0.16_0.22_0.28_0.14_0.16_1.19_0.10_0.14_0.14
0000_wikipedia_tokenized.json,2,9,1.0,20,True,58.22687554359436,2793_9_6_11_57_19_10_17_7_8_7_9_6_20_6_25_22_7_8_8,51.05_0.17_0.11_0.21_1.10_0.38_0.20_0.33_0.14_0.16_0.14_0.18_0.12_0.40_0.12_0.49_0.43_0.14_0.16_0.16
0000_wikipedia_tokenized.json,3,9,1.0,20,True,18.151587963104248,595_7_17_9_6_14_6_11_8_11_13_36_63_6_24_7_8_7_6_15,10.80_0.13_0.32_0.17_0.12_0.27_0.12_0.21_0.16_0.21_0.25_0.69_1.22_0.12_0.47_0.14_0.16_0.14_0.12_0.30
0000_wikipedia_tokenized.json,4,9,1.0,20,True,19.61938738822937,743_14_7_9_11_14_7_14_12_21_15_8_14_9_8_7_13_13_8_12,13.38_0.27_0.13_0.18_0.21_0.27_0.14_0.27_0.23_0.41_0.29_0.16_0.28_0.18_0.16_0.14_0.25_0.25_0.16_0.23
0000_wikipedia_tokenized.json,5,9,1.0,20,True,9.162721633911133,94_11_6_56_3_8_4_24_13_20_5_20_6_19_9_40_11_9_7_9,1.67_0.21_0.12_1.08_0.06_0.16_0.08_0.46_0.26_0.40_0.10_0.39_0.12_0.37_0.18_0.77_0.22_0.17_0.14_0.18
0000_wikipedia_tokenized.json,6,9,1.0,20,True,14.80548095703125,490_7_17_5_7_9_12_17_9_5_13_11_5_9_6_44_6_9_9_6,8.76_0.13_0.32_0.10_0.14_0.17_0.23_0.33_0.17_0.10_0.25_0.21_0.10_0.17_0.12_0.85_0.12_0.18_0.17_0.12
0000_wikipedia_tokenized.json,7,9,1.0,20,True,9.8365478515625,128_5_9_51_15_7_13_6_11_16_6_17_8_6_21_6_17_8_8_56,2.31_0.10_0.17_0.97_0.28_0.13_0.25_0.12_0.21_0.31_0.12_0.33_0.16_0.12_0.41_0.12_0.33_0.16_0.15_1.07
0000_wikipedia_tokenized.json,8,9,1.0,20,True,13.537132501602173,339_6_64_10_5_9_7_7_5_34_9_6_12_4_9_8_6_55_17_8,6.05_0.12_1.21_0.19_0.10_0.17_0.14_0.14_0.10_0.65_0.18_0.12_0.24_0.08_0.17_0.15_0.12_1.05_0.33_0.16
0001_wikipedia_tokenized.json,0,9,1.0,40,True,22.728366374969482,441_8_12_23_4_6_9_22_14_10_6_48_17_9_5_6_49_13_16_8_8_7_5_7_31_6_31_20_11_5_6_5_18_8_7_24_10_6_22_22,8.05_0.16_0.23_0.44_0.08_0.12_0.18_0.42_0.27_0.19_0.12_0.92_0.33_0.18_0.10_0.12_0.95_0.25_0.31_0.15_0.16_0.14_0.10_0.14_0.60_0.12_0.60_0.39_0.22_0.10_0.12_0.10_0.35_0.16_0.14_0.46_0.19_0.12_0.43_0.42
