dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,10,1.0,20,True,9.513871669769287,88_6_69_37_10_6_5_13_5_8_16_15_26_12_6_4_7_6_26_7,1.71_0.11_1.34_0.72_0.19_0.12_0.10_0.26_0.10_0.16_0.31_0.30_0.51_0.24_0.12_0.08_0.14_0.12_0.51_0.14
0000_wikipedia_tokenized.json,1,10,1.0,20,True,25.53780746459961,998_8_4_10_15_6_8_10_15_6_10_9_11_16_7_11_70_6_8_7,18.50_0.16_0.09_0.20_0.31_0.12_0.16_0.19_0.30_0.12_0.21_0.18_0.23_0.33_0.14_0.22_1.40_0.13_0.17_0.14
0000_wikipedia_tokenized.json,2,10,1.0,20,True,92.29030251502991,4478_10_7_12_46_17_10_30_6_7_9_12_9_32_8_20_49_11_8_8,83.86_0.20_0.14_0.24_0.91_0.33_0.20_0.60_0.12_0.14_0.18_0.23_0.18_0.64_0.17_0.40_0.98_0.22_0.16_0.16
0000_wikipedia_tokenized.json,3,10,1.0,20,True,24.362456560134888,920_8_17_7_6_12_5_11_9_21_15_33_21_5_21_7_8_6_9_26,17.18_0.15_0.33_0.14_0.12_0.23_0.10_0.22_0.18_0.43_0.30_0.68_0.43_0.11_0.43_0.14_0.16_0.12_0.17_0.50
0000_wikipedia_tokenized.json,4,10,1.0,20,True,44.07185220718384,1912_14_8_8_15_59_7_25_15_23_20_9_22_10_8_8_18_14_6_10,35.80_0.28_0.16_0.16_0.30_1.19_0.14_0.50_0.30_0.46_0.40_0.19_0.45_0.21_0.17_0.17_0.36_0.27_0.12_0.20
0000_wikipedia_tokenized.json,5,10,1.0,20,True,10.601575136184692,90_15_7_44_4_9_4_26_15_23_5_26_6_20_8_80_15_10_6_9,1.67_0.30_0.14_0.88_0.08_0.18_0.08_0.52_0.30_0.46_0.11_0.52_0.13_0.40_0.16_1.58_0.31_0.20_0.12_0.18
0000_wikipedia_tokenized.json,6,10,1.0,20,True,14.384369850158691,350_8_18_5_7_12_15_23_10_6_25_11_5_16_7_65_6_9_20_7,6.60_0.17_0.36_0.10_0.14_0.24_0.30_0.47_0.20_0.12_0.51_0.23_0.10_0.33_0.15_1.28_0.13_0.18_0.40_0.15
0000_wikipedia_tokenized.json,7,10,1.0,20,True,16.432268142700195,383_5_9_57_22_9_16_6_11_18_6_31_7_7_24_8_31_9_9_62,7.20_0.10_0.18_1.13_0.44_0.18_0.33_0.13_0.22_0.37_0.12_0.62_0.15_0.15_0.48_0.17_0.61_0.18_0.19_1.24
0000_wikipedia_tokenized.json,8,10,1.0,20,True,19.145767211914062,577_6_33_15_5_10_7_7_5_53_12_7_17_4_9_8_6_66_26_8,10.80_0.12_0.66_0.30_0.10_0.21_0.14_0.15_0.10_1.06_0.24_0.14_0.34_0.08_0.18_0.16_0.12_1.32_0.52_0.16
0001_wikipedia_tokenized.json,0,10,1.0,40,True,22.35961651802063,291_8_12_42_4_6_12_18_11_10_6_43_29_11_5_6_58_18_17_8_9_7_5_7_38_7_26_22_11_5_6_6_19_8_8_27_10_6_37_28,5.46_0.16_0.24_0.83_0.08_0.12_0.24_0.36_0.22_0.20_0.13_0.86_0.58_0.22_0.11_0.12_1.16_0.36_0.34_0.16_0.18_0.14_0.10_0.14_0.76_0.15_0.54_0.44_0.22_0.10_0.13_0.13_0.39_0.16_0.16_0.54_0.21_0.12_0.72_0.57
0001_wikipedia_tokenized.json,1,10,1.0,40,True,28.965640544891357,696_7_8_27_9_22_8_10_5_7_13_7_17_12_9_4_17_11_13_13_12_13_19_4_6_6_6_9_12_5_39_18_6_66_5_9_49_6_24_28,13.18_0.13_0.16_0.54_0.18_0.45_0.16_0.20_0.10_0.14_0.26_0.15_0.35_0.24_0.19_0.08_0.34_0.22_0.26_0.27_0.24_0.27_0.38_0.08_0.12_0.12_0.13_0.18_0.25_0.10_0.78_0.36_0.13_1.30_0.11_0.17_0.96_0.12_0.50_0.56
0001_wikipedia_tokenized.json,2,10,1.0,40,True,17.335556507110596,90_21_14_10_6_7_9_18_17_27_20_10_27_5_9_9_14_19_22_8_16_18_11_5_6_10_9_9_6_8_22_7_9_20_5_7_18_22_10_63,1.68_0.42_0.28_0.19_0.12_0.14_0.18_0.36_0.35_0.54_0.40_0.21_0.55_0.10_0.18_0.18_0.29_0.38_0.45_0.17_0.33_0.37_0.22_0.10_0.12_0.20_0.18_0.18_0.12_0.16_0.46_0.14_0.18_0.42_0.10_0.14_0.36_0.44_0.20_1.25
0001_wikipedia_tokenized.json,3,10,1.0,40,True,28.933884859085083,627_7_46_5_6_11_10_8_46_16_21_22_6_14_11_9_7_10_62_10_15_10_15_6_9_13_7_10_8_24_12_13_10_5_62_8_10_7_33_21,11.77_0.14_0.92_0.11_0.12_0.22_0.20_0.16_0.93_0.33_0.42_0.44_0.12_0.29_0.22_0.19_0.14_0.20_1.25_0.20_0.31_0.20_0.30_0.13_0.18_0.26_0.15_0.21_0.17_0.48_0.25_0.27_0.20_0.10_1.24_0.16_0.20_0.15_0.66_0.42
0001_wikipedia_tokenized.json,4,10,1.0,40,True,16.878349781036377,42_14_7_31_18_10_8_15_13_8_16_11_9_36_13_21_19_5_9_13_17_11_5_14_10_22_6_24_16_9_8_6_5_63_10_14_8_24_7_16,0.80_0.28_0.15_0.62_0.36_0.20_0.16_0.30_0.26_0.16_0.33_0.23_0.18_0.71_0.27_0.42_0.39_0.11_0.18_0.26_0.35_0.22_0.11_0.29_0.20_0.44_0.12_0.48_0.32_0.18_0.17_0.12_0.10_1.27_0.21_0.28_0.16_0.48_0.15_0.32
